user_id,age,subscription_plan,monthly_watch_time_mins,country,favorite_genre,last_login_date,customer_support_tickets
10001,37,,1173.4,Colombia,Crime,2019-04-02,2
10002,28,,401.0,Colombia,Crime,2018-04-13,0
10003,43,,62.4,Uruguay,Thriller,2021-01-31,0
10004,51,,477.8,,Thriller,2020-09-30,1
10005,20,,670.2,Uruguay,Drama,2020-07-03,2
10006,37,,346.6,,Thriller,2019-07-26,1
10008,36,Premium,1432.2,Colombia,Romance,2025-08-03,2
10009,37,,1375.4,Argentina,Thriller,2024-02-12,1
10010,23,,385.7,Argentina,Drama,2018-12-23,0
10011,46,Estándar,1148.0,Brasil,Comedia,2024-08-15,0
10013,43,Premium,1584.0,Argentina,Documental,2018-05-11,0
10015,29,,530.5,,Romance,2019-01-19,1
10016,24,,985.7,,Documental,2020-06-14,0
10017,35,,1044.6,Uruguay,Comedia,2020-08-10,1
10019,30,Premium,874.3,Argentina,Drama,2024-10-01,1
10020,17,,223.9,,Drama,2018-04-19,1
10021,23,,288.4,Argentina,Thriller,2024-04-17,0
10022,33,,14.5,Argentina,Drama,2020-03-25,0
10023,33,,660.4,Argentina,Drama,2025-04-15,0
10024,33,Premium,776.0,,Thriller,2025-11-12,0
10025,18,Premium,4087.7,Brasil,Thriller,2024-02-11,1
10027,42,Premium,845.5,Uruguay,Romance,2020-06-21,0
10028,22,Premium,760.8,Argentina,Documental,2023-01-14,0
10029,29,,1028.0,Chile,Drama,2024-08-10,1
10031,44,,1122.4,Argentina,Documental,2018-01-27,1
10032,32,,0.0,Brasil,Drama,2019-10-16,0
10033,33,,427.3,,Documental,2025-10-30,1
10035,37,Estándar,1114.7,Colombia,Drama,2021-10-25,1
10036,41,,275.7,,Drama,2021-02-12,0
10037,33,,611.0,Colombia,Documental,2019-09-29,2
10038,59,Premium,760.8,Uruguay,Romance,2020-05-31,0
10039,26,,589.7,Chile,Drama,2021-10-10,0
10040,20,,994.7,Chile,Comedia,2019-02-23,0
10041,39,Básico,1119.3,Chile,Documental,2019-01-15,0
10042,25,,612.5,Uruguay,Crime,2022-04-06,0
10043,32,,330.1,,Romance,2019-02-01,0
10044,15,,1490.1,,Drama,2022-01-10,0
10046,27,Premium,1398.6,,Thriller,2024-10-08,1
10047,53,,313.4,Brasil,Comedia,2020-12-19,1
10048,26,,822.8,,Comedia,2018-06-27,0
10049,0,,1081.6,Argentina,Romance,2023-02-25,0
10050,55,,979.6,Brasil,Drama,2024-01-06,2
10051,18,,1140.0,,Crime,2019-05-27,0
10054,34,,1091.9,Brasil,Thriller,2024-03-11,4
10056,40,,889.4,Brasil,Crime,2025-01-18,0
10057,28,,814.3,,Drama,2024-12-08,1
10058,20,,960.2,,Thriller,2029-01-01,1
10059,39,,2976.6,Brasil,Drama,2024-06-22,1
10061,47,,824.5,Colombia,Drama,2025-11-25,1
10062,15,,280.3,Uruguay,Thriller,2018-10-12,2
10063,35,,935.6,Chile,Romance,2018-07-07,0
10065,37,,1386.1,,Thriller,2020-07-22,3
10067,15,,875.3,Brasil,Drama,2018-11-23,1
10068,36,,814.4,Uruguay,Romance,2020-08-11,1
10069,21,,816.2,Colombia,Documental,2029-01-01,0
10070,51,,237.2,Brasil,Romance,2022-04-06,2
10072,13,,741.7,Brasil,Documental,2023-02-01,1
10075,23,,658.2,Chile,Thriller,2019-10-29,1
10077,18,Premium,4188.7,Chile,Documental,2021-12-26,0
10078,33,Premium,1059.7,,Drama,2020-05-08,0
10079,26,Premium,760.8,Argentina,Crime,2025-07-08,0
10080,38,,1461.7,,Crime,2020-12-29,1
10082,23,Premium,935.3,Chile,Thriller,2025-08-31,0
10083,33,,713.7,,Documental,2025-04-08,0
10084,27,,1362.6,Brasil,Crime,2018-10-20,3
10085,34,,926.9,,Documental,2024-10-31,0
10087,56,,922.8,Chile,Drama,2019-12-02,1
10089,38,,249.2,Argentina,Documental,2020-09-29,2
10090,17,Premium,1311.3,Chile,Thriller,2019-11-01,0
10091,34,,693.6,Uruguay,Comedia,2023-03-09,1
10092,19,,178.7,,Drama,2022-04-04,1
10093,29,,210.9,Uruguay,Drama,2021-01-10,0
10096,19,,19.1,,Crime,2024-03-31,0
10097,48,,621.5,Colombia,Thriller,2020-06-18,0
10098,29,,0.0,Argentina,Crime,2025-09-05,1
10099,38,,1377.0,Uruguay,Documental,2021-08-21,0
10104,45,,306.2,Colombia,Thriller,2022-07-02,0
10106,20,,935.7,,Documental,2018-09-29,0
10107,23,,426.9,Uruguay,Comedia,2020-05-14,0
10108,26,,1093.3,Argentina,Drama,2024-05-12,1
10109,13,Premium,819.6,Colombia,Thriller,2021-07-12,1
10110,36,,578.6,,Drama,2020-05-20,1
10111,32,,886.4,Colombia,Thriller,2025-05-08,0
10113,30,Premium,1453.2,,Acción,2022-06-09,2
10114,57,,44.6,,Romance,2025-03-18,1
10116,33,,1187.4,,Thriller,2019-08-09,3
10117,29,,713.9,Brasil,Documental,2020-12-20,1
10118,13,Estándar,1066.3,Uruguay,Romance,2019-07-26,1
10119,43,,554.9,,Documental,2020-10-07,1
10121,13,,656.4,Chile,Crime,2024-01-17,0
10122,30,,709.2,,Thriller,2020-12-12,0
10123,26,,966.6,,Crime,2024-07-22,0
10125,21,,616.6,,Drama,2024-07-18,1
10126,39,,972.0,Uruguay,Drama,2022-06-24,2
10127,44,,837.7,,Thriller,2022-01-22,1
10128,19,,638.7,Argentina,Drama,2020-06-17,1
10129,25,,640.4,Argentina,Thriller,2019-07-21,1
10130,35,Básico,911.5,,Drama,2023-09-19,0
10132,33,,676.1,Chile,Drama,2019-01-08,1
10133,13,,899.3,Colombia,Documental,2018-07-12,0
10135,30,,1177.8,,Romance,2019-09-19,1
10136,35,,508.3,Argentina,Thriller,2025-01-14,0
10137,31,,730.1,Colombia,Documental,2019-10-18,2
10139,37,,1128.4,Argentina,Romance,2022-09-26,1
10140,28,,898.3,Uruguay,Crime,2024-09-08,0
10141,26,Premium,760.8,,Thriller,2018-09-18,2
10142,37,,862.3,Argentina,Comedia,2022-04-26,0
10143,37,,302.7,,Drama,2022-04-13,0
10146,53,,1352.6,,Comedia,2023-12-08,1
10150,27,,889.0,Brasil,Documental,2025-08-18,0
10151,29,,627.6,Argentina,Drama,2019-04-15,1
10152,15,Premium,1021.9,Brasil,Thriller,2025-08-24,1
10153,13,,916.1,,Drama,2024-01-09,0
10154,33,,748.6,Colombia,Documental,2020-12-28,2
10156,43,,592.8,Brasil,Romance,2021-10-25,0
10157,33,Premium,1368.1,,Documental,2019-04-02,0
10158,17,,710.3,Chile,Documental,2021-04-17,1
10159,30,,593.2,Argentina,Thriller,2022-11-16,1
10161,34,Premium,1491.0,,Documental,2023-02-02,1
10162,27,,1301.0,Argentina,Thriller,2029-01-01,2
10163,52,,382.7,,Crime,2020-12-14,0
10164,21,,213.7,Argentina,Drama,2023-08-13,1
10165,31,,267.4,,Comedia,2020-01-02,1
10169,64,,1000.3,,Comedia,2021-05-07,1
10172,40,,785.8,Chile,Thriller,2024-10-30,0
10173,44,,545.8,Colombia,Crime,2020-03-25,0
10175,42,Básico,1140.9,Colombia,Documental,2022-03-12,1
10177,22,Premium,1340.2,Brasil,Comedia,2024-01-19,1
10179,41,,0.0,Chile,Thriller,2018-01-03,0
10180,31,,610.7,,Comedia,2024-09-19,0
10181,29,,904.4,Brasil,Crime,2021-08-20,1
10182,39,,656.8,Colombia,Drama,2023-06-25,0
10183,58,,613.2,Uruguay,Romance,2018-03-21,0
10184,28,Premium,760.8,,Comedia,2019-04-04,0
10185,32,Premium,758.0,,Crime,2022-01-26,2
10187,13,,368.7,Colombia,Romance,2020-09-07,1
10188,38,,1070.8,Uruguay,Documental,2018-08-26,1
10189,38,,996.2,Colombia,Comedia,2020-09-13,2
10190,48,,1007.2,Colombia,Romance,2024-05-12,0
10191,25,,1126.3,Argentina,Thriller,2018-11-19,0
10192,14,,1030.7,,Crime,2018-12-17,0
10193,57,,426.8,,Romance,2023-06-14,2
10195,16,,521.3,Chile,Thriller,2023-12-22,0
10196,46,,579.3,Brasil,Thriller,2019-05-31,0
10197,41,Premium,836.8,Chile,Romance,2019-06-10,2
10198,36,,1131.7,,Drama,2025-05-26,2
10199,27,Premium,1498.5,,Documental,2023-05-01,2
10201,21,,680.6,,Documental,2019-11-08,0
10202,40,,210.8,Uruguay,Comedia,2020-12-21,0
10203,29,,98.2,,Thriller,2023-12-02,0
10204,32,Premium,1310.9,Brasil,Thriller,2024-10-20,2
10205,45,,760.8,Chile,Crime,2022-09-30,0
10206,52,,1375.0,,Comedia,2020-05-17,1
10207,18,,354.4,Brasil,Romance,2024-01-18,0
10208,28,,1294.3,Chile,Thriller,2025-09-26,0
10210,53,,2872.1,Uruguay,Comedia,2025-12-30,0
10211,18,,893.4,,Crime,2021-06-30,0
10213,32,,868.6,Brasil,Comedia,2025-07-14,1
10215,30,Premium,1814.6,Uruguay,Thriller,2022-03-10,2
10216,30,,405.7,Argentina,Romance,2022-11-30,0
10217,36,,563.7,Uruguay,Crime,2023-10-21,1
10218,34,,678.0,,Comedia,2023-01-24,0
10220,37,,341.8,Brasil,Romance,2020-10-12,0
10223,44,,1130.9,Chile,Comedia,2021-10-16,1
10224,29,,616.0,México,Thriller,2018-03-28,3
10226,50,,1357.6,,Thriller,2024-03-18,1
10227,13,,1115.9,,Documental,2020-07-31,0
10228,49,,1073.3,Brasil,Comedia,2024-08-07,4
10229,35,,172.0,Uruguay,Romance,2020-06-21,0
10230,53,,954.0,,Crime,2018-01-30,1
10231,35,,671.6,Uruguay,Crime,2018-10-18,1
10232,38,,494.8,Colombia,Documental,2025-12-09,2
10233,37,,396.6,Brasil,Thriller,2025-01-28,1
10234,27,,714.3,Argentina,Comedia,2018-08-30,0
10235,32,,804.8,Colombia,Drama,2020-07-26,0
10237,40,,921.4,Argentina,Crime,2018-05-09,2
10238,23,Estándar,511.3,Uruguay,Thriller,2021-09-15,2
10239,31,,189.2,Argentina,Documental,2018-10-18,1
10240,18,,596.2,,Thriller,2023-10-07,0
10244,47,,1099.0,Argentina,Documental,2023-06-12,0
10247,17,,489.5,Uruguay,Comedia,2019-06-26,0
10248,33,,586.3,Colombia,Thriller,2024-05-27,0
10249,35,,970.9,,Comedia,2024-06-18,0
10250,53,,451.8,Uruguay,Thriller,2023-04-21,1
10254,49,,562.5,Chile,Thriller,2020-02-19,1
10255,38,,1298.7,Uruguay,Comedia,2019-01-22,1
10257,40,,382.8,,Comedia,2025-05-23,0
10258,42,,888.5,Brasil,Acción,2022-11-01,0
10259,21,Premium,1246.6,Colombia,Crime,2021-12-22,0
10260,24,,962.5,Uruguay,Drama,2022-10-01,0
10262,34,Básico,476.2,,Documental,2023-03-28,1
10263,33,,376.3,,Romance,2018-08-10,1
10264,26,,753.2,Uruguay,Drama,2025-07-21,2
10267,27,Básico,0.0,,Crime,2019-02-08,1
10268,16,,608.7,Chile,Crime,2018-09-06,3
10269,35,,538.6,Uruguay,Romance,2022-07-08,0
10270,42,Premium,753.7,Brasil,Thriller,2021-10-21,1
10271,37,Premium,916.2,Chile,Thriller,2019-03-24,0
10272,37,,496.6,Brasil,Thriller,2020-10-15,1
10274,35,,1401.1,Brasil,Drama,2020-02-19,2
10277,45,,861.2,Argentina,Drama,2019-07-29,0
10278,30,,769.7,Colombia,Drama,2022-09-25,1
10279,26,Premium,1446.9,Colombia,Crime,2020-01-22,1
10280,40,,893.2,,Drama,2021-02-14,1
10281,21,,0.0,Argentina,Comedia,2023-03-10,1
10282,31,Premium,1061.4,Brasil,Documental,2020-10-20,1
10283,29,,1025.8,Brasil,Crime,2018-11-05,0
10285,32,,822.5,México,Comedia,2024-03-04,0
10286,48,,856.8,,Crime,2019-02-06,1
10287,40,,286.6,,Thriller,2018-07-27,2
10288,30,,543.7,Brasil,Documental,2025-04-25,1
10289,49,,414.7,Chile,Crime,2024-01-24,2
10290,48,,654.9,Colombia,Comedia,2018-03-02,1
10291,24,Premium,1357.4,Argentina,Thriller,2019-01-18,0
10292,28,Premium,887.5,Brasil,Comedia,2020-08-26,0
10293,54,Premium,1022.1,,Comedia,2019-11-13,0
